frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown
0,1775234370.187696,28.88626300045871, 0.31376900005852804,4,0,27.8,0.0
1,1775234370.2068968,17.400249000274925, 0.3331319985591108,8,8,27.8,0.0
2,1775234370.2637608,23.390533999190666, 0.3596149999793852,11,12,27.8,0.0
3,1775234370.5480201,15.058848999615293, 267.7094170012424,7,7,27.8,0.0
4,1775234370.8298197,13.601064998510992, 264.53836200016667,14,20,27.8,0.0
5,1775234371.1224446,23.825539001336438, 264.395644000615,17,20,27.8,0.0
6,1775234371.4150283,23.248425000929274, 265.55161499891256,7,14,27.8,0.0
7,1775234371.697943,13.440439999612863, 265.23593599995365,6,16,27.8,0.0
8,1775234371.9901605,23.24443900033657, 265.4837589998351,8,15,27.8,0.0
9,1775234372.2876732,23.219243999847095, 269.4857589995081,5,9,27.8,0.0
10,1775234372.5817652,24.700782998479553, 265.11895099974936,36,18,27.8,0.0
11,1775234372.8782132,22.175886999320937, 269.81468700068945,34,14,27.8,0.0
12,1775234373.1781895,24.13908100061235, 271.143359999769,67,9,27.8,0.0
13,1775234373.4727597,24.71807799884118, 265.1958080004988,63,20,27.8,0.0
14,1775234373.764859,22.626882000622572, 264.9783419983578,42,16,27.8,0.0
15,1775234374.0577445,22.631744001046172, 265.4017630011367,1,13,27.8,0.0
16,1775234374.350177,22.790462999182637, 265.3242690012121,4,16,27.8,0.0
17,1775234374.3769257,21.58420399973693, 0.44325099952402525,0,4,27.8,0.0
18,1775234374.6565256,13.349058001040248, 264.68267900054343,0,4,27.8,0.0
