frame,track,x,y,vx,vy,speed,state,cov
1,4,996.0,6.0,0.00,0.00,0.00,0,12.01
1,5,815.0,7.0,0.00,0.00,0.00,0,12.01
1,6,1243.0,12.0,0.00,0.00,0.00,0,12.01
1,7,1262.0,40.0,0.00,0.00,0.00,0,12.01
1,8,1264.0,65.0,0.00,0.00,0.00,0,12.01
1,9,1254.0,56.0,0.00,0.00,0.00,0,12.01
1,10,1263.0,81.0,0.00,0.00,0.00,0,12.01
1,11,1124.0,159.0,0.00,0.00,0.00,0,12.01
2,4,996.0,5.3,0.00,-0.02,0.02,0,7.50
2,5,821.6,4.7,0.17,-0.06,0.18,0,7.50
2,6,1243.3,11.3,0.01,-0.02,0.02,0,7.50
2,7,1262.3,39.3,0.01,-0.02,0.02,0,7.50
2,8,1264.3,64.7,0.01,-0.01,0.01,0,7.50
2,9,1254.0,56.0,0.00,0.00,0.00,0,14.07
2,10,1256.1,88.9,-0.18,0.20,0.27,0,7.50
2,11,1124.0,159.0,0.00,0.00,0.00,0,7.50
2,12,955.0,0.0,0.00,0.00,0.00,0,12.03
2,13,957.0,14.0,0.00,0.00,0.00,0,12.03
2,14,1243.0,111.0,0.00,0.00,0.00,0,12.03
2,15,1245.0,137.0,0.00,0.00,0.00,0,12.03
3,4,986.2,7.8,-0.98,0.23,1.00,0,6.32
3,6,1243.8,10.7,0.05,-0.08,0.09,0,6.32
3,7,1263.5,36.4,0.13,-0.31,0.33,0,6.32
3,8,1264.8,66.0,0.05,0.13,0.14,0,6.32
3,10,1253.0,93.8,-0.49,0.69,0.85,0,6.32
3,5,821.6,4.7,0.17,-0.06,0.18,0,9.55
3,11,1124.0,159.0,0.00,0.00,0.00,0,9.55
4,4,985.9,7.9,-0.98,0.23,1.00,0,10.07
4,6,1243.8,10.7,0.05,-0.08,0.09,0,10.07
4,7,1263.6,36.3,0.13,-0.31,0.33,0,10.07
4,8,1264.8,66.1,0.05,0.13,0.14,0,10.07
4,10,1252.8,94.0,-0.49,0.69,0.85,0,10.07
4,5,823.9,5.1,0.42,-0.01,0.42,0,8.51
4,11,1124.0,159.0,0.00,0.00,0.00,0,13.49
4,17,731.0,1.0,0.00,0.00,0.00,0,12.82
4,18,844.0,8.0,0.00,0.00,0.00,0,12.82
4,19,1105.0,7.0,0.00,0.00,0.00,0,12.82
4,20,732.0,18.0,0.00,0.00,0.00,0,12.82
4,21,731.0,27.0,0.00,0.00,0.00,0,12.82
4,22,823.0,66.0,0.00,0.00,0.00,0,12.82
4,23,1111.0,111.0,0.00,0.00,0.00,0,12.82
4,24,821.0,112.0,0.00,0.00,0.00,0,12.82
4,25,2046.0,221.0,0.00,0.00,0.00,0,12.82
4,26,2033.0,225.0,0.00,0.00,0.00,0,12.82
4,27,2028.0,229.0,0.00,0.00,0.00,0,12.82
4,28,2017.0,231.0,0.00,0.00,0.00,0,12.82
4,29,1805.0,1138.0,0.00,0.00,0.00,0,12.82
5,4,976.7,10.8,-5.09,1.52,5.32,1,9.85
