trial_id,condition,time_min,trap_count,fallen_count
1,baseline,15,11,0
1,baseline,30,1,0
1,baseline,60,1,0
1,baseline,120,5,0
1,baseline,180,10,0
1,baseline,240,10,0
1,baseline,300,6,0
1,baseline,360,7,0
1,intervention,15,10,16
1,intervention,30,1,11
1,intervention,60,0,17
1,intervention,120,0,18
1,intervention,180,1,24
1,intervention,240,1,25
1,intervention,300,0,10
1,intervention,360,0,10
2,baseline,15,284,0
2,baseline,30,254,0
2,baseline,60,312,0
2,baseline,120,412,0
2,baseline,180,340,0
2,baseline,240,960,0
2,baseline,300,204,0
2,baseline,360,256,0
2,intervention,15,372,37
2,intervention,30,288,39
2,intervention,60,300,49
2,intervention,120,544,94
2,intervention,180,356,68
2,intervention,240,265,54
2,intervention,300,208,32
2,intervention,360,175,21
