frame,track,score,x,y,hit_time,hit_confirmed,redirects
3,2,0.0812,456.2,346.2,0.250,True,0
42,6,0.0906,871.3,655.1,0.250,True,0
128,8,0.0554,751.6,1183.5,0.250,True,0
165,9,0.0395,1175.9,320.2,0.250,True,0
215,14,0.1018,1423.4,795.1,0.250,True,0
252,15,0.1203,987.0,690.7,0.250,True,0
291,19,0.0982,421.7,958.0,0.250,True,0
330,26,0.1532,481.2,1027.8,0.250,True,0
369,35,0.1111,905.7,1235.6,0.250,True,0
408,40,0.0872,700.2,683.0,0.250,True,0
447,46,0.1244,965.1,542.8,0.250,True,0
486,59,0.0810,1002.0,1308.5,0.250,True,0
523,61,0.0438,1400.8,563.9,0.250,True,0
560,63,0.0805,920.1,263.6,0.250,True,0
597,65,0.0914,595.8,941.1,0.250,True,0
635,70,0.0634,751.9,646.1,0.250,True,0
672,71,0.1028,1113.2,743.8,0.250,True,0
713,78,0.0645,894.3,956.1,0.250,True,0
750,81,0.1159,1082.8,712.7,0.250,True,0
789,92,0.1127,829.9,731.0,0.250,True,0
828,104,0.1390,886.7,869.3,0.250,True,0
867,109,0.0925,730.2,943.1,0.250,True,0
906,117,0.1282,774.7,718.1,0.250,True,0
945,123,0.1071,1084.5,1048.9,0.250,True,0
984,128,0.1001,1286.9,932.7,0.250,True,0
1094,132,0.1093,746.4,729.7,0.250,True,0
1137,134,0.0805,1313.3,1169.2,0.250,True,0
1176,140,0.1153,1287.5,833.6,0.250,True,0
1213,143,0.0804,924.3,634.3,0.250,True,0
1254,148,0.0683,1047.9,1265.5,0.250,True,0
1293,165,0.1323,1199.3,1316.8,0.250,True,0
1332,173,0.1267,1283.1,1013.7,0.250,True,0
1371,184,0.1409,1494.1,1091.8,0.250,True,0
1410,196,0.1217,1417.1,967.4,0.250,True,0
1449,200,0.0741,651.1,726.4,0.250,True,0
1488,204,0.1379,978.9,572.0,0.250,True,0
1525,206,0.1096,793.5,1094.0,0.250,True,0
1563,209,0.1201,1144.4,1148.2,0.250,True,0
1600,212,0.1235,1304.8,1008.6,0.250,True,0
1638,215,0.0686,1157.7,1127.2,0.250,True,0
1680,218,0.1146,1177.8,1250.1,0.250,True,0
1717,220,0.1105,1570.4,860.2,0.250,True,0
1755,224,0.0923,901.8,1221.1,0.250,True,0
1792,226,0.1108,1391.3,1144.4,0.250,True,0
1833,227,0.1023,987.6,1277.6,0.250,True,0
1872,230,0.0680,1199.2,1312.4,0.250,True,0
1911,235,0.1073,698.0,1242.6,0.250,True,0
1950,251,0.1056,330.2,852.1,0.250,True,0
1989,268,0.1055,886.0,1095.9,0.250,True,0
2028,278,0.1013,915.6,1264.9,0.250,True,0
2067,283,0.1040,1194.7,1273.3,0.250,True,0
2104,285,0.0447,494.8,845.4,0.250,True,0
2142,290,0.1142,349.4,732.1,0.250,True,0
2181,297,0.1022,1088.0,879.6,0.250,True,0
2220,303,0.0865,942.4,1397.6,0.250,True,0
2259,306,0.1002,905.0,1232.8,0.250,True,0
2301,313,0.1235,1066.0,1245.5,0.250,True,0
2340,321,0.1166,781.7,950.5,0.250,True,0
2379,330,0.1241,1068.4,1198.9,0.250,True,0
2418,341,0.0720,1162.6,1149.0,0.250,True,0
2456,345,0.1251,1284.1,1331.4,0.250,True,0
2493,347,0.1232,1404.7,1196.6,0.250,True,0
2532,359,0.0978,1154.7,1216.9,0.250,True,0
2571,374,0.1212,1038.4,1281.1,0.250,True,0
2610,384,0.1038,405.5,971.9,0.250,True,0
2649,393,0.0927,762.3,1206.8,0.250,True,0
2688,409,0.1480,802.9,1158.5,0.250,True,0
2727,418,0.1371,558.5,1161.8,0.250,True,0
2766,445,0.1214,754.8,1035.1,0.250,True,0
2805,458,0.1180,968.7,771.5,0.250,True,0
2844,469,0.1368,850.0,547.2,0.250,True,0
2886,470,0.0885,1392.2,594.3,0.250,True,0
2925,482,0.1333,1528.1,727.7,0.250,True,0
2964,488,0.1046,1284.5,898.6,0.250,True,0
3003,496,0.1011,713.9,919.9,0.250,True,0
3042,510,0.1169,685.8,472.0,0.250,True,0
3107,518,0.0593,1186.7,1383.3,0.250,True,0
3144,520,0.1070,1513.2,957.6,0.250,True,0
3183,529,0.1063,1022.7,1272.3,0.250,True,0
3222,542,0.0977,986.9,1249.1,0.250,True,0
3261,555,0.1123,1028.8,1426.2,0.250,True,0
3300,562,0.1020,1197.1,1139.1,0.250,True,0
3339,571,0.1371,1223.7,1097.6,0.250,True,0
3378,580,0.1501,1423.6,940.8,0.250,True,0
3417,587,0.0512,773.3,1027.3,0.250,True,0
3456,594,0.1195,1083.2,1081.9,0.250,True,0
3495,604,0.1181,1222.0,730.6,0.250,True,0
3534,622,0.1455,1131.3,975.6,0.250,True,0
3573,645,0.1372,1032.7,999.0,0.250,True,0
3612,660,0.1406,1187.2,892.9,0.250,True,0
3651,675,0.0831,873.0,1273.9,0.250,True,0
3690,689,0.1129,977.9,827.5,0.250,True,0
3729,700,0.1248,1190.7,850.5,0.250,True,0
3768,707,0.1244,1445.8,600.5,0.250,True,0
3807,716,0.1333,1260.1,914.6,0.250,True,0
3846,724,0.1067,1199.4,1311.2,0.250,True,0
3885,729,0.1018,1047.0,1233.0,0.250,True,0
