frame,track,x,y,vx,vy,speed,state,cov
1,2,1166.0,1304.0,0.00,0.00,0.00,0,12.05
1,3,1184.0,1307.0,0.00,0.00,0.00,0,12.05
2,2,1166.0,1304.0,0.00,0.00,0.00,0,7.55
2,3,1172.8,1306.3,-0.64,-0.04,0.64,0,7.55
3,2,1161.3,1304.3,-0.64,0.04,0.64,0,6.34
5,2,1161.2,1304.3,-0.64,0.04,0.64,0,10.11
6,2,1161.2,1304.3,-0.64,0.04,0.64,0,12.22
7,2,1161.1,1304.3,-0.64,0.04,0.64,0,14.57
38,4,1317.0,1073.0,0.00,0.00,0.00,0,12.01
38,5,1298.0,1075.0,0.00,0.00,0.00,0,12.01
38,6,1149.0,1206.0,0.00,0.00,0.00,0,12.01
38,7,1157.0,1207.0,0.00,0.00,0.00,0,12.01
40,8,1469.0,993.0,0.00,0.00,0.00,0,12.01
40,9,1277.0,1079.0,0.00,0.00,0.00,0,12.01
40,10,1257.0,1082.0,0.00,0.00,0.00,0,12.01
41,8,1468.7,992.7,-0.01,-0.01,0.01,0,7.47
41,9,1271.1,1080.3,-0.13,0.03,0.14,0,7.47
41,10,1251.8,1083.6,-0.12,0.04,0.12,0,7.47
41,11,1451.0,982.0,0.00,0.00,0.00,0,12.01
41,12,1473.0,998.0,0.00,0.00,0.00,0,12.01
42,8,1464.4,990.2,-0.28,-0.16,0.32,0,6.31
42,10,1243.3,1086.0,-0.65,0.19,0.68,0,6.31
42,9,1271.1,1080.3,-0.13,0.03,0.14,0,9.51
44,8,1464.3,990.1,-0.28,-0.16,0.32,0,9.99
44,10,1243.1,1086.1,-0.65,0.19,0.68,0,9.99
44,9,1271.1,1080.3,-0.13,0.03,0.14,0,13.32
45,8,1464.3,990.1,-0.28,-0.16,0.32,0,12.12
45,10,1243.1,1086.1,-0.65,0.19,0.68,0,12.12
45,9,1271.1,1080.3,-0.13,0.03,0.14,0,15.45
46,8,1464.3,990.1,-0.28,-0.16,0.32,0,14.47
46,10,1243.1,1086.1,-0.65,0.19,0.68,0,14.47
199,14,1067.0,602.0,0.00,0.00,0.00,0,12.01
199,15,1063.0,622.0,0.00,0.00,0.00,0,12.01
200,14,1065.7,608.6,-0.03,0.16,0.16,0,7.48
200,15,1063.0,622.0,0.00,0.00,0.00,0,14.04
201,14,1065.7,608.6,-0.03,0.16,0.16,0,9.52
203,14,1065.7,608.6,-0.03,0.16,0.16,0,13.30
204,14,1065.7,608.6,-0.03,0.16,0.16,0,15.47
236,16,784.0,998.0,0.00,0.00,0.00,0,12.01
236,17,804.0,1010.0,0.00,0.00,0.00,0,12.01
241,20,657.0,946.0,0.00,0.00,0.00,0,12.01
241,21,677.0,951.0,0.00,0.00,0.00,0,12.01
241,22,687.0,954.0,0.00,0.00,0.00,0,12.01
242,20,657.3,946.0,0.01,0.00,0.01,0,7.48
242,21,664.6,948.1,-0.31,-0.07,0.32,0,7.48
242,22,687.0,954.0,0.00,0.00,0.00,0,14.04
243,20,652.9,945.0,-0.29,-0.07,0.30,0,6.31
243,22,687.0,954.0,0.00,0.00,0.00,0,16.09
245,20,652.8,945.0,-0.29,-0.07,0.30,0,9.95
245,22,687.0,954.0,0.00,0.00,0.00,0,19.94
246,20,652.8,945.0,-0.29,-0.07,0.30,0,12.12
247,20,652.8,944.9,-0.29,-0.07,0.30,0,14.46
278,24,1401.0,1163.0,0.00,0.00,0.00,0,12.01
278,25,1398.0,1178.0,0.00,0.00,0.00,0,12.01
280,26,1407.0,1150.0,0.00,0.00,0.00,0,12.01
281,26,1409.0,1146.4,0.04,-0.08,0.09,0,7.47
282,26,1409.0,1146.4,0.04,-0.08,0.09,0,9.51
284,26,1409.0,1146.4,0.04,-0.08,0.09,0,13.23
285,26,1409.0,1146.4,0.04,-0.08,0.09,0,15.45
317,27,1075.0,903.0,0.00,0.00,0.00,0,12.01
317,28,1060.0,904.0,0.00,0.00,0.00,0,12.01
319,30,981.0,746.0,0.00,0.00,0.00,0,12.01
319,31,1003.0,751.0,0.00,0.00,0.00,0,12.01
319,32,1035.0,906.0,0.00,0.00,0.00,0,12.01
319,33,1021.0,909.0,0.00,0.00,0.00,0,12.01
320,30,981.3,746.0,0.01,0.00,0.01,0,7.47
320,31,1003.0,751.0,0.00,0.00,0.00,0,14.03
320,32,1030.4,907.0,-0.10,0.02,0.10,0,7.47
320,33,1016.7,910.0,-0.09,0.02,0.10,0,7.47
320,34,961.0,745.0,0.00,0.00,0.00,0,12.01
321,30,972.0,747.0,-0.57,0.06,0.57,0,6.30
321,32,1023.4,908.8,-0.53,0.13,0.55,0,6.30
321,31,1003.0,751.0,0.00,0.00,0.00,0,16.07
323,30,971.8,747.0,-0.57,0.06,0.57,0,9.94
323,32,1023.2,908.8,-0.53,0.13,0.55,0,9.94
323,31,1003.0,751.0,0.00,0.00,0.00,0,19.91
324,30,971.8,747.0,-0.57,0.06,0.57,0,12.11
324,32,1023.2,908.8,-0.53,0.13,0.55,0,12.11
325,30,971.8,747.0,-0.57,0.06,0.57,0,14.46
325,32,1023.2,908.8,-0.53,0.13,0.55,0,14.46
356,35,986.0,837.0,0.00,0.00,0.00,0,12.01
357,35,985.0,835.7,-0.02,-0.03,0.04,0,7.48
358,35,983.5,833.7,-0.13,-0.17,0.22,0,6.31
360,35,983.4,833.7,-0.13,-0.17,0.22,0,9.93
361,35,983.4,833.7,-0.13,-0.17,0.22,0,12.11
362,35,983.4,833.7,-0.13,-0.17,0.22,0,14.46
393,36,738.0,525.0,0.00,0.00,0.00,0,12.01
394,36,728.8,519.8,-0.23,-0.13,0.26,0,7.48
395,36,724.0,517.0,-0.57,-0.33,0.66,0,6.31
395,37,695.0,502.0,0.00,0.00,0.00,0,12.01
397,36,723.8,516.9,-0.57,-0.33,0.66,0,9.98
397,37,695.0,502.0,0.00,0.00,0.00,0,15.12
398,36,723.8,516.9,-0.57,-0.33,0.66,0,12.10
398,37,695.0,502.0,0.00,0.00,0.00,0,17.21
399,36,723.8,516.9,-0.57,-0.33,0.66,0,14.44
399,37,695.0,502.0,0.00,0.00,0.00,0,19.46
573,38,795.0,1284.0,0.00,0.00,0.00,0,12.01
574,38,795.0,1284.0,0.00,0.00,0.00,0,14.04
575,38,795.0,1284.0,0.00,0.00,0.00,0,16.09
577,38,795.0,1284.0,0.00,0.00,0.00,0,19.96
610,39,386.0,1017.0,0.00,0.00,0.00,0,12.01
610,40,406.0,1032.0,0.00,0.00,0.00,0,12.01
611,39,386.3,1017.0,0.01,0.00,0.01,0,7.48
611,40,406.0,1032.0,0.00,0.00,0.00,0,14.04
611,41,370.0,1005.0,0.00,0.00,0.00,0,12.01
612,39,382.4,1014.2,-0.27,-0.20,0.33,0,6.31
612,40,406.0,1032.0,0.00,0.00,0.00,0,16.09
614,39,382.3,1014.1,-0.27,-0.20,0.33,0,9.98
614,40,406.0,1032.0,0.00,0.00,0.00,0,19.99
615,39,382.3,1014.1,-0.27,-0.20,0.33,0,12.11
616,39,382.3,1014.1,-0.27,-0.20,0.33,0,14.52
663,42,939.0,1291.0,0.00,0.00,0.00,0,12.01
664,42,939.0,1291.0,0.00,0.00,0.00,0,14.04
665,42,939.0,1291.0,0.00,0.00,0.00,0,16.09
665,43,890.0,1276.0,0.00,0.00,0.00,0,12.01
667,42,939.0,1291.0,0.00,0.00,0.00,0,19.97
667,43,890.0,1276.0,0.00,0.00,0.00,0,15.13
668,43,890.0,1276.0,0.00,0.00,0.00,0,17.24
669,43,890.0,1276.0,0.00,0.00,0.00,0,19.48
712,44,1377.0,814.0,0.00,0.00,0.00,0,12.01
712,45,1398.0,843.0,0.00,0.00,0.00,0,12.01
713,44,1383.6,822.8,0.17,0.23,0.28,0,7.47
713,45,1403.9,851.2,0.15,0.21,0.26,0,7.47
714,45,1407.0,855.5,0.35,0.48,0.60,0,6.31
714,44,1383.6,822.9,0.17,0.23,0.28,0,9.52
716,45,1407.1,855.7,0.35,0.48,0.60,0,9.98
716,44,1383.6,822.9,0.17,0.23,0.28,0,13.30
717,45,1407.1,855.7,0.35,0.48,0.60,0,12.13
717,44,1383.6,822.9,0.17,0.23,0.28,0,15.46
718,45,1407.1,855.7,0.35,0.48,0.60,0,14.53
749,46,1291.0,1148.0,0.00,0.00,0.00,0,12.01
749,47,1278.0,1159.0,0.00,0.00,0.00,0,12.01
751,49,1259.0,1178.0,0.00,0.00,0.00,0,12.01
751,50,1245.0,1194.0,0.00,0.00,0.00,0,12.01
751,51,1077.0,1231.0,0.00,0.00,0.00,0,12.01
751,52,1059.0,1234.0,0.00,0.00,0.00,0,12.01
752,49,1254.1,1183.9,-0.11,0.13,0.18,0,7.47
752,50,1245.0,1194.0,0.00,0.00,0.00,0,14.03
752,51,1071.8,1232.0,-0.12,0.02,0.12,0,7.47
752,52,1053.4,1233.3,-0.13,-0.01,0.13,0,7.47
753,50,1237.6,1204.9,-0.32,0.47,0.57,0,7.87
753,51,1064.4,1232.0,-0.58,0.02,0.58,0,6.31
753,49,1254.1,1183.9,-0.11,0.13,0.18,0,9.51
755,50,1237.5,1205.0,-0.32,0.47,0.57,0,11.52
755,51,1064.2,1232.0,-0.58,0.02,0.58,0,9.97
755,49,1254.1,1183.9,-0.11,0.13,0.18,0,13.29
756,50,1237.5,1205.0,-0.32,0.47,0.57,0,13.68
756,51,1064.2,1232.0,-0.58,0.02,0.58,0,12.12
756,49,1254.0,1183.9,-0.11,0.13,0.18,0,15.45
757,50,1237.5,1205.0,-0.32,0.47,0.57,0,16.02
757,51,1064.2,1232.0,-0.58,0.02,0.58,0,14.46
788,53,703.0,1196.0,0.00,0.00,0.00,0,12.01
788,54,691.0,1199.0,0.00,0.00,0.00,0,12.01
790,55,683.0,1206.0,0.00,0.00,0.00,0,12.01
790,56,674.0,1221.0,0.00,0.00,0.00,0,12.01
791,55,680.1,1210.3,-0.07,0.10,0.12,0,7.47
791,56,671.4,1226.6,-0.06,0.13,0.14,0,7.47
792,55,676.7,1216.9,-0.28,0.52,0.59,0,6.31
794,55,676.6,1217.0,-0.28,0.52,0.59,0,9.96
795,55,676.6,1217.0,-0.28,0.52,0.59,0,12.12
796,55,676.6,1217.0,-0.28,0.52,0.59,0,14.46
869,58,874.0,1399.0,0.00,0.00,0.00,0,12.01
871,60,860.0,1389.0,0.00,0.00,0.00,0,12.01
872,60,852.8,1384.1,-0.18,-0.12,0.21,0,7.48
872,61,822.0,1361.0,0.00,0.00,0.00,0,12.01
873,60,844.9,1378.4,-0.70,-0.50,0.86,0,6.31
875,60,844.7,1378.3,-0.70,-0.50,0.86,0,9.95
876,60,844.7,1378.3,-0.70,-0.50,0.86,0,12.12
877,60,844.6,1378.2,-0.70,-0.50,0.86,0,14.47
908,62,846.0,957.0,0.00,0.00,0.00,0,12.01
908,63,1096.0,1394.0,0.00,0.00,0.00,0,12.01
910,64,846.0,949.0,0.00,0.00,0.00,0,12.01
911,64,844.7,947.7,-0.03,-0.03,0.04,0,7.47
911,65,1539.0,845.0,0.00,0.00,0.00,0,12.01
912,64,842.7,945.7,-0.15,-0.15,0.22,0,6.30
914,64,842.7,945.7,-0.15,-0.15,0.22,0,9.93
915,64,842.7,945.7,-0.15,-0.15,0.22,0,12.12
916,64,842.7,945.7,-0.15,-0.15,0.22,0,14.47
947,67,1195.0,710.0,0.00,0.00,0.00,0,12.01
947,68,1127.0,1187.0,0.00,0.00,0.00,0,12.01
949,72,1178.0,681.0,0.00,0.00,0.00,0,12.01
949,73,1062.0,1188.0,0.00,0.00,0.00,0,12.01
950,72,1178.0,681.0,0.00,0.00,0.00,0,14.03
950,73,1063.0,1188.0,0.02,0.00,0.02,0,7.47
950,74,1041.0,1182.0,0.00,0.00,0.00,0,12.01
951,73,1057.3,1186.5,-0.33,-0.10,0.35,0,6.31
951,72,1178.0,681.0,0.00,0.00,0.00,0,16.08
953,73,1057.2,1186.4,-0.33,-0.10,0.35,0,9.95
953,72,1178.0,681.0,0.00,0.00,0.00,0,19.92
954,73,1057.2,1186.4,-0.33,-0.10,0.35,0,12.12
955,73,1057.2,1186.4,-0.33,-0.10,0.35,0,14.46
986,75,807.0,500.0,0.00,0.00,0.00,0,12.01
986,76,817.0,513.0,0.00,0.00,0.00,0,12.01
986,77,871.0,962.0,0.00,0.00,0.00,0,12.01
986,78,1077.0,1385.0,0.00,0.00,0.00,0,12.01
986,79,1079.0,1396.0,0.00,0.00,0.00,0,12.01
988,80,823.0,524.0,0.00,0.00,0.00,0,12.01
988,81,831.0,538.0,0.00,0.00,0.00,0,12.01
988,82,859.0,974.0,0.00,0.00,0.00,0,12.01
988,83,1080.0,1405.0,0.00,0.00,0.00,0,12.01
989,80,825.6,528.3,0.06,0.10,0.11,0,7.47
989,81,833.3,542.6,0.05,0.11,0.12,0,7.47
989,82,857.0,976.0,-0.05,0.05,0.06,0,7.47
989,83,1080.0,1405.0,0.00,0.00,0.00,0,14.03
990,80,828.8,534.4,0.26,0.48,0.54,0,6.30
990,82,855.2,978.0,-0.16,0.17,0.23,0,6.30
990,83,1080.0,1405.0,0.00,0.00,0.00,0,16.08
992,80,828.9,534.5,0.26,0.48,0.54,0,9.95
992,82,855.2,978.1,-0.16,0.17,0.23,0,9.95
992,83,1080.0,1405.0,0.00,0.00,0.00,0,19.92
993,80,828.9,534.5,0.26,0.48,0.54,0,12.11
993,82,855.2,978.1,-0.16,0.17,0.23,0,12.11
994,80,828.9,534.5,0.26,0.48,0.54,0,14.45
994,82,855.2,978.1,-0.16,0.17,0.23,0,14.45
1025,86,516.0,1065.0,0.00,0.00,0.00,0,12.01
1027,88,495.0,1085.0,0.00,0.00,0.00,0,12.01
1027,89,486.0,1098.0,0.00,0.00,0.00,0,12.01
1028,88,491.7,1089.6,-0.08,0.11,0.13,0,7.47
1028,89,486.0,1098.0,0.00,0.00,0.00,0,14.04
1029,88,488.7,1094.8,-0.27,0.45,0.52,0,6.31
1031,88,488.6,1095.0,-0.27,0.45,0.52,0,9.96
1032,88,488.6,1095.0,-0.27,0.45,0.52,0,12.11
1033,88,488.6,1095.0,-0.27,0.45,0.52,0,14.45
1083,90,758.0,337.0,0.00,0.00,0.00,0,12.01
1084,90,758.0,336.7,0.00,-0.01,0.01,0,7.47
1084,91,747.0,347.0,0.00,0.00,0.00,0,12.01
1085,90,755.9,338.3,-0.13,0.10,0.17,0,6.31
1085,91,747.0,347.0,0.00,0.00,0.00,0,14.04
1087,90,755.9,338.3,-0.13,0.10,0.17,0,9.98
1087,91,747.0,347.0,0.00,0.00,0.00,0,17.52
1088,90,755.9,338.3,-0.13,0.10,0.17,0,12.12
1088,91,747.0,347.0,0.00,0.00,0.00,0,19.65
1089,90,755.9,338.3,-0.13,0.10,0.17,0,14.52
1121,92,1334.0,1224.0,0.00,0.00,0.00,0,12.01
1123,94,1318.0,1214.0,0.00,0.00,0.00,0,12.01
1124,94,1315.7,1212.4,-0.05,-0.04,0.07,0,7.47
1125,94,1313.2,1210.5,-0.21,-0.16,0.26,0,6.31
1127,94,1313.2,1210.4,-0.21,-0.16,0.26,0,10.00
1128,94,1313.1,1210.4,-0.21,-0.16,0.26,0,12.12
1129,94,1313.1,1210.4,-0.21,-0.16,0.26,0,14.52
1160,95,1402.0,722.0,0.00,0.00,0.00,0,12.01
1161,95,1403.6,719.7,0.04,-0.06,0.07,0,7.48
1162,95,1405.8,717.2,0.19,-0.23,0.30,0,6.31
1162,96,903.0,1133.0,0.00,0.00,0.00,0,12.01
1162,97,925.0,1140.0,0.00,0.00,0.00,0,12.01
1164,95,1405.8,717.1,0.19,-0.23,0.30,0,9.98
1164,96,903.0,1133.0,0.00,0.00,0.00,0,15.13
1164,97,925.0,1140.0,0.00,0.00,0.00,0,15.13
1165,95,1405.8,717.1,0.19,-0.23,0.30,0,12.10
1165,96,903.0,1133.0,0.00,0.00,0.00,0,17.21
1165,97,925.0,1140.0,0.00,0.00,0.00,0,17.21
1166,95,1405.9,717.1,0.19,-0.23,0.30,0,14.50
1166,96,903.0,1133.0,0.00,0.00,0.00,0,19.50
1166,97,925.0,1140.0,0.00,0.00,0.00,0,19.50
1204,98,786.0,1406.0,0.00,0.00,0.00,0,12.01
1205,98,786.0,1406.0,0.00,0.00,0.00,0,14.03
1206,98,786.0,1406.0,0.00,0.00,0.00,0,16.07
1208,98,786.0,1406.0,0.00,0.00,0.00,0,19.92
1241,99,797.0,710.0,0.00,0.00,0.00,0,12.01
1241,100,783.0,718.0,0.00,0.00,0.00,0,12.01
1241,101,1124.0,1317.0,0.00,0.00,0.00,0,12.01
1241,102,1130.0,1327.0,0.00,0.00,0.00,0,12.01
1243,103,758.0,716.0,0.00,0.00,0.00,0,12.01
1244,103,755.7,714.4,-0.05,-0.04,0.06,0,7.47
1245,103,754.2,712.2,-0.14,-0.17,0.22,0,6.30
1247,103,754.2,712.2,-0.14,-0.17,0.22,0,9.94
1248,103,754.2,712.2,-0.14,-0.17,0.22,0,12.11
1249,103,754.2,712.2,-0.14,-0.17,0.22,0,14.46
1280,104,1321.0,494.0,0.00,0.00,0.00,0,12.01
1280,105,1311.0,495.0,0.00,0.00,0.00,0,12.01
1280,106,1314.0,507.0,0.00,0.00,0.00,0,12.01
1280,107,1306.0,506.0,0.00,0.00,0.00,0,12.01
1280,108,1314.0,522.0,0.00,0.00,0.00,0,12.01
1280,109,1371.0,525.0,0.00,0.00,0.00,0,12.01
1280,110,1380.0,544.0,0.00,0.00,0.00,0,12.01
1280,111,1395.0,534.0,0.00,0.00,0.00,0,12.01
1280,112,1397.0,550.0,0.00,0.00,0.00,0,12.01
1280,113,1393.0,559.0,0.00,0.00,0.00,0,12.01
1280,114,1174.0,1359.0,0.00,0.00,0.00,0,12.01
1282,118,1237.0,414.0,0.00,0.00,0.00,0,12.01
1282,119,1248.0,402.0,0.00,0.00,0.00,0,12.01
1282,120,1223.0,404.0,0.00,0.00,0.00,0,12.01
1282,121,1228.0,431.0,0.00,0.00,0.00,0,12.01
1282,122,1280.0,469.0,0.00,0.00,0.00,0,12.01
1282,123,1281.0,1075.0,0.00,0.00,0.00,0,12.01
1282,124,1185.0,1333.0,0.00,0.00,0.00,0,12.01
1282,125,1179.0,1346.0,0.00,0.00,0.00,0,12.01
1283,118,1239.9,418.3,0.06,0.09,0.11,0,7.47
1283,119,1248.0,402.0,0.00,0.00,0.00,0,14.03
1283,120,1212.8,399.1,-0.21,-0.10,0.23,0,7.47
1283,121,1228.0,431.0,0.00,0.00,0.00,0,14.03
1283,122,1280.0,469.0,0.00,0.00,0.00,0,14.03
1283,123,1281.0,1075.0,0.00,0.00,0.00,0,7.47
1283,124,1185.0,1333.3,0.00,0.01,0.01,0,7.47
1283,125,1183.6,1338.1,0.09,-0.16,0.19,0,7.47
1283,126,1198.0,367.0,0.00,0.00,0.00,0,12.01
1283,127,1191.0,380.0,0.00,0.00,0.00,0,12.01
1283,128,1283.0,1061.0,0.00,0.00,0.00,0,12.01
1283,129,1121.0,1115.0,0.00,0.00,0.00,0,12.01
1284,118,1236.6,413.8,-0.16,-0.20,0.25,0,6.31
1284,123,1281.5,1071.7,0.03,-0.22,0.22,0,6.31
1284,124,1186.8,1330.7,0.12,-0.17,0.20,0,6.31
1284,120,1212.8,399.1,-0.21,-0.10,0.23,0,9.52
1284,122,1280.0,469.0,0.00,0.00,0.00,0,16.08
1286,118,1236.6,413.8,-0.16,-0.20,0.25,0,9.97
1286,123,1281.5,1071.6,0.03,-0.22,0.22,0,9.97
1286,124,1186.8,1330.6,0.12,-0.17,0.20,0,9.97
1286,120,1212.8,399.1,-0.21,-0.10,0.23,0,13.29
1286,122,1280.0,469.0,0.00,0.00,0.00,0,19.94
1287,118,1236.6,413.8,-0.16,-0.20,0.25,0,12.12
1287,123,1281.5,1071.6,0.03,-0.22,0.22,0,12.12
1287,124,1186.8,1330.6,0.12,-0.17,0.20,0,12.12
1287,120,1212.8,399.1,-0.21,-0.10,0.23,0,15.46
1288,118,1236.6,413.8,-0.16,-0.20,0.25,0,14.47
1288,123,1281.5,1071.6,0.03,-0.22,0.22,0,14.47
1288,124,1186.8,1330.6,0.12,-0.17,0.20,0,14.47
