frame,track,x,y,vx,vy,speed,state,cov
320,0,1044.0,212.0,0.00,0.00,0.00,0,12.01
320,1,1044.0,232.0,0.00,0.00,0.00,0,12.01
320,2,1045.0,279.0,0.00,0.00,0.00,0,12.01
320,3,1046.0,338.0,0.00,0.00,0.00,0,12.01
322,5,1051.0,741.0,0.00,0.00,0.00,0,12.01
322,6,1051.0,764.0,0.00,0.00,0.00,0,12.01
322,7,1051.0,789.0,0.00,0.00,0.00,0,12.01
323,5,1051.0,740.3,0.00,-0.02,0.02,0,7.48
323,6,1051.0,763.7,0.00,-0.01,0.01,0,7.48
323,7,1051.0,789.0,0.00,0.00,0.00,0,14.04
324,5,1051.0,740.3,0.00,-0.02,0.02,0,9.52
324,6,1051.0,763.7,0.00,-0.01,0.01,0,9.52
324,7,1051.0,789.0,0.00,0.00,0.00,0,16.09
325,5,1051.0,740.3,0.00,-0.02,0.02,0,13.65
325,6,1051.0,763.7,0.00,-0.01,0.01,0,13.65
325,7,1051.0,789.0,0.00,0.00,0.00,0,20.32
325,8,1219.0,548.0,0.00,0.00,0.00,0,12.98
325,9,1240.0,549.0,0.00,0.00,0.00,0,12.98
325,10,1205.0,553.0,0.00,0.00,0.00,0,12.98
325,11,1244.0,560.0,0.00,0.00,0.00,0,12.98
325,12,1202.0,564.0,0.00,0.00,0.00,0,12.98
325,13,1254.0,574.0,0.00,0.00,0.00,0,12.98
325,14,1184.0,583.0,0.00,0.00,0.00,0,12.98
325,15,1258.0,587.0,0.00,0.00,0.00,0,12.98
325,16,1169.0,588.0,0.00,0.00,0.00,0,12.98
325,17,1163.0,597.0,0.00,0.00,0.00,0,12.98
325,18,1168.0,610.0,0.00,0.00,0.00,0,12.98
325,19,1161.0,604.0,0.00,0.00,0.00,0,12.98
325,20,1146.0,617.0,0.00,0.00,0.00,0,12.98
325,21,1140.0,627.0,0.00,0.00,0.00,0,12.98
325,22,1124.0,646.0,0.00,0.00,0.00,0,12.98
325,23,1112.0,645.0,0.00,0.00,0.00,0,12.98
325,24,1119.0,651.0,0.00,0.00,0.00,0,12.98
326,5,1051.0,740.3,0.00,-0.02,0.02,0,20.98
326,6,1051.0,763.7,0.00,-0.01,0.01,0,20.98
326,8,1219.0,548.0,0.00,0.00,0.00,0,18.03
326,9,1240.0,549.0,0.00,0.00,0.00,0,18.03
326,10,1205.0,553.0,0.00,0.00,0.00,0,18.03
326,11,1244.0,560.0,0.00,0.00,0.00,0,18.03
326,12,1202.0,564.0,0.00,0.00,0.00,0,18.03
326,13,1254.0,574.0,0.00,0.00,0.00,0,18.03
326,14,1184.0,583.0,0.00,0.00,0.00,0,18.03
326,15,1258.0,587.0,0.00,0.00,0.00,0,18.03
326,16,1169.0,588.0,0.00,0.00,0.00,0,18.03
326,17,1163.0,597.0,0.00,0.00,0.00,0,18.03
326,18,1168.0,610.0,0.00,0.00,0.00,0,18.03
326,19,1161.0,604.0,0.00,0.00,0.00,0,18.03
326,20,1146.0,617.0,0.00,0.00,0.00,0,18.03
326,21,1140.0,627.0,0.00,0.00,0.00,0,18.03
326,22,1124.0,646.0,0.00,0.00,0.00,0,18.03
326,23,1112.0,645.0,0.00,0.00,0.00,0,18.03
326,24,1119.0,651.0,0.00,0.00,0.00,0,18.03
327,8,1219.0,548.0,0.00,0.00,0.00,0,25.50
327,9,1240.0,549.0,0.00,0.00,0.00,0,25.50
327,12,1202.0,564.0,0.00,0.00,0.00,0,25.50
327,13,1254.0,574.0,0.00,0.00,0.00,0,25.50
327,14,1184.0,583.0,0.00,0.00,0.00,0,25.50
327,17,1163.0,597.0,0.00,0.00,0.00,0,25.50
327,20,1146.0,617.0,0.00,0.00,0.00,0,25.50
327,22,1124.0,646.0,0.00,0.00,0.00,0,25.50
328,8,1219.0,548.0,0.00,0.00,0.00,0,35.75
328,9,1240.0,549.0,0.00,0.00,0.00,0,35.75
328,12,1202.0,564.0,0.00,0.00,0.00,0,35.75
328,13,1254.0,574.0,0.00,0.00,0.00,0,35.75
328,14,1184.0,583.0,0.00,0.00,0.00,0,35.75
328,17,1163.0,597.0,0.00,0.00,0.00,0,35.75
328,20,1146.0,617.0,0.00,0.00,0.00,0,35.75
328,22,1124.0,646.0,0.00,0.00,0.00,0,35.75
332,25,1270.0,701.0,0.00,0.00,0.00,0,12.01
333,25,1274.6,697.4,0.12,-0.09,0.15,0,7.48
334,25,1274.6,697.4,0.12,-0.09,0.15,0,9.52
335,25,1274.6,697.4,0.12,-0.09,0.15,0,13.66
335,26,1338.0,545.0,0.00,0.00,0.00,0,12.98
335,27,1428.0,549.0,0.00,0.00,0.00,0,12.98
335,28,1400.0,568.0,0.00,0.00,0.00,0,12.98
335,29,1383.0,572.0,0.00,0.00,0.00,0,12.98
335,30,1409.0,572.0,0.00,0.00,0.00,0,12.98
335,31,1420.0,578.0,0.00,0.00,0.00,0,12.98
335,32,1432.0,577.0,0.00,0.00,0.00,0,12.98
335,33,1457.0,608.0,0.00,0.00,0.00,0,12.98
335,34,1489.0,638.0,0.00,0.00,0.00,0,12.98
335,35,1495.0,644.0,0.00,0.00,0.00,0,12.98
335,36,1497.0,689.0,0.00,0.00,0.00,0,12.98
335,37,1496.0,698.0,0.00,0.00,0.00,0,12.98
335,38,1522.0,701.0,0.00,0.00,0.00,0,12.98
335,39,1503.0,708.0,0.00,0.00,0.00,0,12.98
335,40,1491.0,730.0,0.00,0.00,0.00,0,12.98
335,41,1509.0,732.0,0.00,0.00,0.00,0,12.98
335,42,1493.0,736.0,0.00,0.00,0.00,0,12.98
335,43,1482.0,752.0,0.00,0.00,0.00,0,12.98
335,44,1487.0,760.0,0.00,0.00,0.00,0,12.98
336,25,1274.7,697.3,0.12,-0.09,0.15,0,20.98
340,45,1347.0,569.0,0.00,0.00,0.00,0,12.01
340,46,1409.0,588.0,0.00,0.00,0.00,0,12.01
340,47,1389.0,593.0,0.00,0.00,0.00,0,12.01
340,48,1403.0,607.0,0.00,0.00,0.00,0,12.01
340,49,1384.0,614.0,0.00,0.00,0.00,0,12.01
340,50,1442.0,614.0,0.00,0.00,0.00,0,12.01
340,51,1477.0,638.0,0.00,0.00,0.00,0,12.01
340,52,1484.0,656.0,0.00,0.00,0.00,0,12.01
340,53,1476.0,656.0,0.00,0.00,0.00,0,12.01
340,54,1482.0,665.0,0.00,0.00,0.00,0,12.01
340,55,1472.0,728.0,0.00,0.00,0.00,0,12.01
340,56,1455.0,764.0,0.00,0.00,0.00,0,12.01
340,57,1425.0,790.0,0.00,0.00,0.00,0,12.01
340,58,1389.0,796.0,0.00,0.00,0.00,0,12.01
340,59,1398.0,799.0,0.00,0.00,0.00,0,12.01
340,60,1410.0,808.0,0.00,0.00,0.00,0,12.01
340,61,1358.0,827.0,0.00,0.00,0.00,0,12.01
341,45,1347.0,569.0,0.00,0.00,0.00,0,14.04
341,46,1409.0,588.0,0.00,0.00,0.00,0,14.04
341,47,1389.0,593.0,0.00,0.00,0.00,0,14.04
341,48,1403.0,607.0,0.00,0.00,0.00,0,14.04
341,49,1384.0,614.0,0.00,0.00,0.00,0,14.04
341,50,1442.0,614.0,0.00,0.00,0.00,0,14.04
341,51,1477.0,638.0,0.00,0.00,0.00,0,14.04
341,52,1484.0,656.0,0.00,0.00,0.00,0,14.04
341,53,1476.0,656.0,0.00,0.00,0.00,0,14.04
341,54,1482.0,665.0,0.00,0.00,0.00,0,14.04
341,55,1472.0,728.0,0.00,0.00,0.00,0,14.04
341,56,1455.0,764.0,0.00,0.00,0.00,0,14.04
341,57,1425.0,790.0,0.00,0.00,0.00,0,14.04
341,58,1389.0,796.0,0.00,0.00,0.00,0,14.04
341,59,1398.0,799.0,0.00,0.00,0.00,0,14.04
341,60,1410.0,808.0,0.00,0.00,0.00,0,14.04
341,61,1358.0,827.0,0.00,0.00,0.00,0,14.04
342,45,1347.0,569.0,0.00,0.00,0.00,0,16.09
342,46,1409.0,588.0,0.00,0.00,0.00,0,16.09
342,47,1389.0,593.0,0.00,0.00,0.00,0,16.09
342,49,1384.0,614.0,0.00,0.00,0.00,0,16.09
342,50,1442.0,614.0,0.00,0.00,0.00,0,16.09
342,51,1477.0,638.0,0.00,0.00,0.00,0,16.09
342,54,1482.0,665.0,0.00,0.00,0.00,0,16.09
